komentar,tokens,cleaned
kejernihan lensa: lumayan untuk anak smp,"['jernih', 'lensa', 'lumayan', 'anak', 'smp']",jernih lensa lumayan anak smp
barang tidak sesuai isi.,"['barang', 'sesuai', 'isi']",barang sesuai isi
"tidak sesuai harapan, pesan warna pink yang dtng warna hijau, udah itu hp nya mati lgi, ada kemungkinan ini barang rekondisi, hp bru hrus dbwa ke konter untuk diservice,sngt kecewa","['sesuai', 'harap', 'pesan', 'warna', 'pink', 'dtng', 'warna', 'hijau', 'udah', 'hp', 'mati', 'lgi', 'barang', 'rekondisi', 'hp', 'bru', 'hrus', 'dbwa', 'konter', 'diservice sngt', 'kecewa']",sesuai harap pesan warna pink dtng warna hijau udah hp mati lgi barang rekondisi hp bru hrus dbwa konter diservice sngt kecewa
sesuai dengan yang di foto mantap dah dan semoga awet hp nya,"['sesuai', 'foto', 'mantap', 'dah', 'moga', 'awet', 'hp']",sesuai foto mantap dah moga awet hp
"hpnya kren banget dengan harga segitu, hanya bintang 5 yang berkomentar...","['hpnya', 'kren', 'banget', 'harga', 'segitu', 'bintang', '5', 'komentar']",hpnya kren banget harga segitu bintang 5 komentar
"ok barangnya sesuai sama pesanan,👌👌","['ok', 'barang', 'sesuai', 'pesan']",ok barang sesuai pesan
"buat admin semoga lbih hti"" dlam peking brang krna kotak hp penyok","['admin', 'moga', 'lbih', 'hti', 'dlam', 'peking', 'brang', 'krna', 'kotak', 'hp', 'penyok']",admin moga lbih hti dlam peking brang krna kotak hp penyok
kejernihan lensa: lumayan kualitas pengerjaan: lumayan,"['jernih', 'lensa', 'lumayan', 'kualitas', 'kerja', 'lumayan']",jernih lensa lumayan kualitas kerja lumayan
"produk nya lumayan,tp ketika digunakan wa langsung kena spam.","['produk', 'lumayan tp', 'wa', 'spam']",produk lumayan tp wa spam
tpi warnanya tidak sesuai pilih wrna pink di kirim wrna biru tpi gpp deh makasih,"['tpi', 'warna', 'sesuai', 'pilih', 'wrna', 'pink', 'kirim', 'wrna', 'biru', 'tpi', 'gpp', 'deh', 'makasih']",tpi warna sesuai pilih wrna pink kirim wrna biru tpi gpp deh makasih
di cas tidak masuk knp ya? ini nipu kah 600 rb habis ?,"['cas', 'knp', 'ya', 'nipu', 'kah', '600', 'rb', 'habis', '']",cas knp ya nipu kah 600 rb habis 
bagus banget hp ya semoga awat dan tahun lama👍👍👍👍,"['bagus', 'banget', 'hp', 'moga', 'awat', 'tahun', 'lama']",bagus banget hp moga awat tahun lama
hp tai masukak akun semua teblokir hp palsu,"['hp', 'tai', 'masukak', 'akun', 'teblokir', 'hp', 'palsu']",hp tai masukak akun teblokir hp palsu
paket sudah saya terima dengan kondisi baik.terima kasih,"['paket', 'terima', 'kondisi', 'baik terima', 'kasih']",paket terima kondisi baik terima kasih
"alhamdulillah paket sudah mendarat otw pesen satu lagi semoga sama bagus nya nanti jadi langganan, selalu amanah ya buat penjual nya👍","['alhamdulillah', 'paket', 'darat', 'otw', 'sen', 'moga', 'bagus', 'langgan', 'amanah', 'jual', 'nya']",alhamdulillah paket darat otw sen moga bagus langgan amanah jual nya
jangan mudah tertipu dihp sama kardus keteranganya 8/256. coba instal device check di situ jelas dalemnya ram 4/64,"['mudah', 'tipu', 'dihp', 'kardus', 'keteranganya', '8 256', 'coba', 'instal', 'device', 'check', 'situ', 'dalem', 'ram', '4 64']",mudah tipu dihp kardus keteranganya 8 256 coba instal device check situ dalem ram 4 64
barang sudah sampai dgn aman dan cepat.. semoga awet,"['barang', 'dgn', 'aman', 'cepat', 'moga', 'awet']",barang dgn aman cepat moga awet
mkasih brangy sudah sampai. sesuai pesanan,"['mkasih', 'brangy', 'sampai', 'sesuai', 'pesan']",mkasih brangy sampai sesuai pesan
trimaksih barang suda sampai dengan baik dan aman,"['trimaksih', 'barang', 'suda', 'aman']",trimaksih barang suda aman
tidak sesuai warna yang di pesan warna pink yang datang warna green,"['sesuai', 'warna', 'pesan', 'warna', 'pink', 'warna', 'green']",sesuai warna pesan warna pink warna green
"barang sesuai, pengiriman cepat","['barang', 'sesuai', 'kirim', 'cepat']",barang sesuai kirim cepat
bagus... sesuai produk..,"['bagus', 'sesuai', 'produk']",bagus sesuai produk
mantap barang nya bagus. kurir nya ramah,"['mantap', 'barang', 'bagus', 'kurir', 'ramah']",mantap barang bagus kurir ramah
respon cepat pesanan sesuai dgn di vt,"['respon', 'cepat', 'pesan', 'sesuai', 'dgn', 'vt']",respon cepat pesan sesuai dgn vt
ko wa nya ngax bisa,"['ko', 'wa', 'ngax']",ko wa ngax
the best,"['the', 'best']",the best
"alhamdulillah bagus sekali,dan real pict","['alhamdulillah', 'bagus', 'sekali dan', 'real', 'pict']",alhamdulillah bagus sekali dan real pict
barang bagus tapi warna tidak sesuai,"['barang', 'bagus', 'warna', 'sesuai']",barang bagus warna sesuai
pengiriman nya cepat barangnya aman,"['kirim', 'cepat', 'barang', 'aman']",kirim cepat barang aman
sangat puas yang halil ya mantan semogaa awat hp ya🙏👍👍👍,"['puas', 'halil', 'mantan', 'semogaa', 'awat', 'hp', 'ya']",puas halil mantan semogaa awat hp ya
mantap kualitas pengerjaan: bagus,"['mantap', 'kualitas', 'kerja', 'bagus']",mantap kualitas kerja bagus
barang cepat sampai amanah pkok ny trimakasih,"['barang', 'cepat', 'amanah', 'pkok', 'ny', 'trimakasih']",barang cepat amanah pkok ny trimakasih
sesuai deskripsi 😍🤏,"['sesuai', 'deskripsi', '']",sesuai deskripsi 
warna nya bedaaaaaaa yang di pesan bluee yang dtg ijoo,"['warna', 'bedaaaaaaa', 'pesan', 'bluee', 'dtg', 'ijoo']",warna bedaaaaaaa pesan bluee dtg ijoo
"barang ok, pengiriman cepat...","['barang', 'ok', 'kirim', 'cepat']",barang ok kirim cepat
mantap barang nya sesuai pesanan,"['mantap', 'barang', 'sesuai', 'pesan']",mantap barang sesuai pesan
pengiriman cepat semuga hp nya awet,"['kirim', 'cepat', 'semuga', 'hp', 'awet']",kirim cepat semuga hp awet
paket sudah sampai aman nanti beli lagi,"['paket', 'aman', 'beli']",paket aman beli
real pick hpnya kak terimakasih 🙏,"['real', 'pick', 'hpnya', 'kak', 'terimakasih', '']",real pick hpnya kak terimakasih 
real,['real'],real
hp nya dah nyampe lumayan bgs.hanya beda warna psn yang hitam dtng yang merah,"['hp', 'dah', 'nyampe', 'lumayan', 'bgs hanya', 'beda', 'warna', 'psn', 'hitam', 'dtng', 'merah']",hp dah nyampe lumayan bgs hanya beda warna psn hitam dtng merah
nyesel beli hp ini wa ny g bisa d pake,"['nyesel', 'beli', 'hp', 'wa', 'ny', 'pake']",nyesel beli hp wa ny pake
"barang sesuai psnn,, alhmdllah.. tq","['barang', 'sesuai', 'psnn', 'alhmdllah', 'tq']",barang sesuai psnn alhmdllah tq
mantuliti pokoknya.......amanah jg tokonya next mo order lg..... bang kurir ramah,"['mantuliti', 'pokok amanah', 'jg', 'toko', 'next', 'mo', 'order', 'lg', 'bang', 'kurir', 'ramah']",mantuliti pokok amanah jg toko next mo order lg bang kurir ramah
"masa pas dtng hp nya tiba""idup","['pas', 'dtng', 'hp', 'tiba idup']",pas dtng hp tiba idup
cassannya tidak bisa dipake🥺,"['cassannya', 'dipake']",cassannya dipake
selamat sampainya.. thanks seller,"['selamat', 'sampai', 'thanks', 'seller']",selamat sampai thanks seller
puas banget pokoknya toko amanah,"['puas', 'banget', 'pokok', 'toko', 'amanah']",puas banget pokok toko amanah
alhamdulillah amanah,"['alhamdulillah', 'amanah']",alhamdulillah amanah
trimakasih pesanan sudah sampi sesuai smoga lancar trus 😊😊,"['trimakasih', 'pesan', 'sampi', 'sesuai', 'smoga', 'lancar', 'trus', '']",trimakasih pesan sampi sesuai smoga lancar trus 
"pesan yang pink, yang datang entah apa","['pesan', 'pink']",pesan pink
saya pesan yang hitam kenapa datang biru?,"['pesan', 'hitam', 'biru']",pesan hitam biru
bagus sih cm casan rusak,"['bagus', 'sih', 'cm', 'cas', 'rusak']",bagus sih cm cas rusak
asli keren sih. no debat pokok,"['asli', 'keren', 'sih', 'no', 'debat', 'pokok']",asli keren sih no debat pokok
"makasih kak, toko sangat amanah.. 👍👍","['makasih', 'kak', 'toko', 'amanah', '']",makasih kak toko amanah 
mantap pokoknya..,"['mantap', 'pokok']",mantap pokok
barang sampai sesuai dengan pesanan,"['barang', 'sesuai', 'pesan']",barang sesuai pesan
tidak sesuai pesanan mintanyak warna ping sampenya warna biru,"['sesuai', 'pesan', 'mintanyak', 'warna', 'ping', 'sampenya', 'warna', 'biru']",sesuai pesan mintanyak warna ping sampenya warna biru
bagus alhamdulilah sesuai pesanan,"['bagus', 'alhamdulilah', 'sesuai', 'pesan']",bagus alhamdulilah sesuai pesan
hp berfungsi dgan baik,"['hp', 'fungsi', 'dgan']",hp fungsi dgan
apik kang ojo kuatir wisto tukuo tenan,"['apik', 'kang', 'ojo', 'kuatir', 'wisto', 'tukuo', 'tenan']",apik kang ojo kuatir wisto tukuo tenan
barang bagus dan amanah lagi,"['barang', 'bagus', 'amanah']",barang bagus amanah
amanah banget terima kasih kk y kurir y baik banget,"['amanah', 'banget', 'terima', 'kasih', 'kk', 'kurir', 'banget']",amanah banget terima kasih kk kurir banget
berfungsi dgn baik,"['fungsi', 'dgn']",fungsi dgn
real mantap barang sesui,"['real', 'mantap', 'barang', 'sesui']",real mantap barang sesui
barang bagus amanah tokonya,"['barang', 'bagus', 'amanah', 'toko']",barang bagus amanah toko
"paket aman,.. mantap","['paket', 'aman', 'mantap']",paket aman mantap
sangat memuaskan alhamdulillah saya sukah. amanah,"['muas', 'alhamdulillah', 'sukah', 'amanah']",muas alhamdulillah sukah amanah
sesuai harapan,"['sesuai', 'harap']",sesuai harap
ok kakak mantap..............!,"['ok', 'kakak', 'mantap']",ok kakak mantap
baru seminggu lcd rusak,"['minggu', 'lcd', 'rusak']",minggu lcd rusak
barang sangat bagus terimakasih 🥰,"['barang', 'bagus', 'terimakasih', '']",barang bagus terimakasih 
mantap pokonya barang. sesuai,"['mantap', 'poko', 'barang', 'sesuai']",mantap poko barang sesuai
"pengiriman lama,barang oke.","['kirim', 'lama barang', 'oke']",kirim lama barang oke
alhamdulilah pket sudah sampe trmksih kk,"['alhamdulilah', 'pket', 'sampe', 'trmksih', 'kk']",alhamdulilah pket sampe trmksih kk
bagus hp nya.. mantap,"['bagus', 'hp', 'nya', 'mantap']",bagus hp nya mantap
sesuai pesanan datang tpt waktu,"['sesuai', 'pesan', 'tpt', 'waktu']",sesuai pesan tpt waktu
barang sudah sampai kakak... sesuai dengan harga,"['barang', 'kakak', 'sesuai', 'harga']",barang kakak sesuai harga
jangan ragu belanja di sini,"['ragu', 'belanja']",ragu belanja
mantap jos,"['mantap', 'jos']",mantap jos
good ❤️ memuaskan ibuku sukaaaa,"['good', '', 'muas', 'ibu', 'sukaaaa']",good  muas ibu sukaaaa
kualitas mantap,"['kualitas', 'mantap']",kualitas mantap
hp nyan kurang bagus lemot,"['hp', 'nyan', 'bagus', 'lot']",hp nyan bagus lot
real sesuai pesanan 😁,"['real', 'sesuai', 'pesan', '']",real sesuai pesan 
senang,['senang'],senang
cakep sesuai,"['cakep', 'sesuai']",cakep sesuai
pesanan yang ke2 mendarat dengan baik,"['pesan', 'ke2', 'darat']",pesan ke2 darat
"alhamdulilah sesuai , bagus","['alhamdulilah', 'sesuai', '', 'bagus']",alhamdulilah sesuai  bagus
bagus sesuai,"['bagus', 'sesuai']",bagus sesuai
baguss banget,"['baguss', 'banget']",baguss banget
bagus... semoga awet ya...,"['bagus', 'moga', 'awet', 'ya']",bagus moga awet ya
warna sesuai cakep,"['warna', 'sesuai', 'cakep']",warna sesuai cakep
𝐣𝐚𝐧𝐠𝐚𝐧 𝐩𝐚𝐝𝐚 𝐫𝐚𝐠𝐮 𝐛𝐞𝐥𝐢 𝐡𝐩 𝐝𝐢 𝐬𝐢𝐧𝐢 𝐛𝐚𝐫𝐚𝐧𝐠 𝐧𝐲𝐚 𝐝𝐚𝐭𝐚𝐧𝐠𝐧𝐲𝐚 𝐜𝐞𝐩𝐞𝐭 𝐝𝐚𝐧 𝐝𝐚𝐭𝐚𝐧𝐠𝐧𝐲𝐚 𝐬𝐞𝐬𝐮𝐚𝐢 𝐲𝐚𝐧𝐠 𝐝𝐢 𝐢𝐧𝐠𝐢𝐧𝐤𝐚𝐧 𝐩𝐨𝐤𝐨𝐧𝐲𝐚 𝐭𝐞𝐫𝐢𝐦𝐚𝐤𝐚𝐬𝐢𝐡 𝐧𝐚𝐧𝐭𝐢 𝐧𝐞𝐱𝐬 𝐨𝐫𝐝𝐞𝐫 𝐥𝐚𝐠𝐢..,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",                      
real picture 🤗,"['real', 'picture', '']",real picture 
alhamdulillah sangat bagus,"['alhamdulillah', 'bagus']",alhamdulillah bagus
minta warna merah dikirim warna biru,"['warna', 'merah', 'kirim', 'warna', 'biru']",warna merah kirim warna biru
tidak ssuay,['ssuay'],ssuay
tidak mengecewakan 👍,"['kecewa', '']",kecewa 
bagus bangettt 👍,"['bagus', 'bangettt', '']",bagus bangettt 
pesan warna merah datang warna biru,"['pesan', 'warna', 'merah', 'warna', 'biru']",pesan warna merah warna biru
mendarat dgn utuh,"['darat', 'dgn', 'utuh']",darat dgn utuh
udah mantep.pokok nya best,"['udah', 'mantep pokok', 'best']",udah mantep pokok best
sampai dengan baik,[],
"hp refurbish, hp suntikan , tidak bisa buat whatsapp slalu ke blokir 👎","['hp', 'refurbish', 'hp', 'sunti', '', 'whatsapp', 'slalu', 'blokir', '']",hp refurbish hp sunti  whatsapp slalu blokir 
"barang sesuai pesanan warna blue, toko no terbaiklah😍","['barang', 'sesuai', 'pesan', 'warna', 'blue', 'toko', 'no', 'baik']",barang sesuai pesan warna blue toko no baik
josjis,['josjis'],josjis
mantap dah..,"['mantap', 'dah']",mantap dah
ok👌👌👌👌👌👌,['ok'],ok
trimakasih paket sudah sampai,"['trimakasih', 'paket']",trimakasih paket
biar bintang yang bicara,"['biar', 'bintang', 'bicara']",biar bintang bicara
produknya real pict baru banget msh mau lem lagi . alahamdullilah bagus sesuai harganya mirip sama yang ori,"['produk', 'real', 'pict', 'banget', 'msh', 'lem', '', 'alahamdullilah', 'bagus', 'sesuai', 'harga', 'ori']",produk real pict banget msh lem  alahamdullilah bagus sesuai harga ori
"sesuai sama yang digambar, bahannya bagus, tapi sepatunya kuat, packaging nya juga rapi dan aman saat paketnya sampai, tidak nyesel deh pokoknya","['sesuai', 'gambar', 'bahan', 'bagus', 'sepatu', 'kuat', 'packaging', 'rapi', 'aman', 'paket', 'sampai', 'nyesel', 'deh', 'pokok']",sesuai gambar bahan bagus sepatu kuat packaging rapi aman paket sampai nyesel deh pokok
barang datang sesuai pesanan dan bahan yang bagus tidak mudah rusak,"['barang', 'sesuai', 'pesan', 'bahan', 'bagus', 'mudah', 'rusak']",barang sesuai pesan bahan bagus mudah rusak
"bentuk dan ukuran: pas aroma: masih ada bau lem daya tahan pakai: belum dicoba overal ok dengan harga segitu udah dapat yang bagus, mulai dari kerapian packing & kualitas lem yang sangat baik 👍 saya kasih ⭐⭐⭐⭐⭐","['bentuk', 'ukur', 'pas', 'aroma', 'bau', 'lem', 'daya', 'tahan', 'pakai', 'coba', 'overal', 'ok', 'harga', 'segitu', 'udah', 'bagus', 'rapi', 'packing', '', 'kualitas', 'lem', '', 'kasih', '']",bentuk ukur pas aroma bau lem daya tahan pakai coba overal ok harga segitu udah bagus rapi packing  kualitas lem  kasih 
bentuk dan ukuran: pas aroma: terlalu menyengat aroma lem nya daya tahan pakai: belum tau warna: bagus semoga awet,"['bentuk', 'ukur', 'pas', 'aroma', 'sengat', 'aroma', 'lem', 'daya', 'tahan', 'pakai', 'tau', 'warna', 'bagus', 'moga', 'awet']",bentuk ukur pas aroma sengat aroma lem daya tahan pakai tau warna bagus moga awet
"udah was was takut zonk, tapi ternyata pas nyampe bagus barangnya, meskipun bau lem banget tapi gpp lah, semoga aja awet sol nya","['udah', 'was', 'was', 'takut', 'zonk', 'pas', 'nyampe', 'bagus', 'barang', 'bau', 'lem', 'banget', 'gpp', 'lah', 'moga', 'aja', 'awet', 'sol']",udah was was takut zonk pas nyampe bagus barang bau lem banget gpp lah moga aja awet sol
bagus sepatunya empuk keren uk pas mantap👍🏻,"['bagus', 'sepatu', 'empuk', 'keren', 'uk', 'pas', 'mantap']",bagus sepatu empuk keren uk pas mantap
"lumayanlah utk seharga ini, kualitas pekerjaannya bersih dan rapi, meski kualitas bahannya jelas bkn asli, ukurannya pas sesuai dgn yang biasanya pakai","['lumayan', 'utk', 'harga', 'ini', 'kualitas', 'kerja', 'bersih', 'rapi', 'kualitas', 'bahan', 'bkn', 'asli', 'ukur', 'pas', 'sesuai', 'dgn', 'pakai']",lumayan utk harga ini kualitas kerja bersih rapi kualitas bahan bkn asli ukur pas sesuai dgn pakai
"bentuk dan ukuran: pas aroma: pilok daya tahan pakai: mungkin tidak berharap lebih si dengan harga segitu soal awet tidak nya tergntng kita buat kalian yang mau beli klo niatan klean brhrp dpet ssuai ekspektasi ya ingt dulu, ada harga ada kualitas, ori sama premium itu beda, dan ini dengan harga asli mngkn 5 kali lipatnya,dan ini pas utk dna plajar","['bentuk', 'ukur', 'pas', 'aroma', 'pilok', 'daya', 'tahan', 'pakai', 'harap', 'si', 'harga', 'segitu', 'awet', 'tergntng', 'beli', 'klo', 'niat', 'klean', 'brhrp', 'dpet', 'ssuai', 'ekspektasi', 'ingt', 'dulu', 'harga', 'kualitas', 'ori', 'premium', 'beda', 'harga', 'asli', 'mngkn', '5', 'lipat dan', 'pas', 'utk', 'dna', 'plajar']",bentuk ukur pas aroma pilok daya tahan pakai harap si harga segitu awet tergntng beli klo niat klean brhrp dpet ssuai ekspektasi ingt dulu harga kualitas ori premium beda harga asli mngkn 5 lipat dan pas utk dna plajar
awalnya ngira bawahnya warna putih ada hint biru sedikit dilist nya tapi ternyata abu² semua tapi tetep bagus😘😘🫶🏻 tasnya juga berkualitas dan makasih untuk free socknya,"['ngira', 'bawah', 'warna', 'putih', 'hint', 'biru', 'dilist', 'abu', 'tetep', 'bagus', 'tas', 'kualitas', 'makasih', 'free', 'socknya']",ngira bawah warna putih hint biru dilist abu tetep bagus tas kualitas makasih free socknya
"mantap, sesuai pesanan, pass lah dgn harga minus cuma bau lem nya menyengat","['mantap', 'sesuai', 'pesan', 'pass', 'dgn', 'harga', 'minus', 'bau', 'lem', 'sengat']",mantap sesuai pesan pass dgn harga minus bau lem sengat
bentuk dan ukuran: pas sesuai sepatu nya bagus nyaman tidak rugi pokoknya beli disini,"['bentuk', 'ukur', 'pas', 'sesuai', 'sepatu', 'bagus', 'nyaman', 'rugi', 'pokok', 'beli']",bentuk ukur pas sesuai sepatu bagus nyaman rugi pokok beli
barang mendarat dengan selamat terimakasih min barang bagus real pict sesuai gambar free tas sama kaos kaki jg recommended banget,"['barang', 'darat', 'selamat', 'terimakasih', 'min', 'barang', 'bagus', 'real', 'pict', 'sesuai', 'gambar', 'free', 'tas', 'kaos', 'kaki', 'jg', 'recommended', 'banget']",barang darat selamat terimakasih min barang bagus real pict sesuai gambar free tas kaos kaki jg recommended banget
"bentuk dan ukuran: 42 warna: grey yellow kualitas bagus, empuk dan nyaman untuk lari.","['bentuk', 'ukur', '42', 'warna', 'grey', 'yellow', 'kualitas', 'bagus', 'empuk', 'nyaman', 'lari']",bentuk ukur 42 warna grey yellow kualitas bagus empuk nyaman lari
"bahan nya bagus ,mantap cepat pengiriman nya","['bahan', 'bagus', 'mantap', 'cepat', 'kirim']",bahan bagus mantap cepat kirim
"pengiriman cepat, barang sesuai, bagus dan mantap pokoknya, ada bonus juga","['kirim', 'cepat', 'barang', 'sesuai', 'bagus', 'mantap', 'pokok', 'bonus']",kirim cepat barang sesuai bagus mantap pokok bonus
okelah buat harga segt mudah²an awet lah tidak gampang kebuka itu elem nya soal nya suami buat kerja,"['oke', 'harga', 'segt', 'mudah an', 'awet', 'gampang', 'buka', 'elem', 'suami']",oke harga segt mudah an awet gampang buka elem suami
"keren pertama pake enak, semoga awet, cocok banget buat yang low budget atau dana pelajar","['keren', 'pake', 'enak', 'moga', 'awet', 'cocok', 'banget', 'low', 'budget', 'dana', 'ajar']",keren pake enak moga awet cocok banget low budget dana ajar
"mantap nih, harga seratusan kualitas tidak kaleng-kaleng, tinggal lihat awetnya gimana, direkomendasikan banget sepatu ini","['mantap', 'nih', 'harga', 'ratus', 'kualitas', 'kaleng', 'tinggal', 'awet', 'gimana', 'rekomendasi', 'banget', 'sepatu']",mantap nih harga ratus kualitas kaleng tinggal awet gimana rekomendasi banget sepatu
bentuk dan ukuran: sesuai aroma: mantap warna: sesuai sama dipoto,"['bentuk', 'ukur', 'sesuai', 'aroma', 'mantap', 'warna', 'sesuai', 'dipoto']",bentuk ukur sesuai aroma mantap warna sesuai dipoto
"sepatu nya empuk banget dan ringan, bonus kaos kaki dan sesuai di foto tidak mengecewakan, makasih kak bisa jadi langganan nih 🥰🥰","['sepatu', 'empuk', 'banget', 'ringan', 'bonus', 'kaos', 'kaki', 'sesuai', 'foto', 'kecewa', 'makasih', 'kak', 'langgan', 'nih', '']",sepatu empuk banget ringan bonus kaos kaki sesuai foto kecewa makasih kak langgan nih 
cakep amat sepatunya. ringan pula. ada bonus kaos kaki juga sama tempat sepatunya 😍,"['cakep', 'sepatu', 'ringan', 'pula', 'bonus', 'kaos', 'kaki', 'sepatu', '']",cakep sepatu ringan pula bonus kaos kaki sepatu 
"maasya allah sepatunya bagus empuk enak di pakai tidak nyesal banget beli di toko ini,ntar sya mau pesen lagi.di toko ini,free kaos kaki juga mantap betullll,kurirnya pun cepat smpainya,ramah,terimakasih🥰","['maasya', 'allah', 'sepatu', 'bagus', 'empuk', 'pakai', 'nyesal', 'banget', 'beli', 'toko', 'ini ntar', 'sya', 'sen', 'lagi di', 'toko', 'ini free', 'kaos', 'kaki', 'mantap', 'betullll kurir', 'cepat', 'smpainya ramah terimakasih']",maasya allah sepatu bagus empuk pakai nyesal banget beli toko ini ntar sya sen lagi di toko ini free kaos kaki mantap betullll kurir cepat smpainya ramah terimakasih
"mantap, ada bonus tas & kaos kakinya juga","['mantap', 'bonus', 'tas', '', 'kaos', 'kaki']",mantap bonus tas  kaos kaki
"keren, mantap and sesuai gambar. terima kasih kurir and admin, pengiriman cepat...","['keren', 'mantap', 'and', 'sesuai', 'gambar', 'terima', 'kasih', 'kurir', 'and', 'admin', 'kirim', 'cepat']",keren mantap and sesuai gambar terima kasih kurir and admin kirim cepat
tx pesanan sudah di tangan. produk bagus sesuai pesanan.,"['tx', 'pesan', 'tangan', 'produk', 'bagus', 'sesuai', 'pesan']",tx pesan tangan produk bagus sesuai pesan
barangnya bgus sesuai dgn pesanan tpi pengiriman nya sangat lambat,"['barang', 'bgus', 'sesuai', 'dgn', 'pesan', 'tpi', 'kirim', 'lambat']",barang bgus sesuai dgn pesan tpi kirim lambat
"puas banget dgn harga segitu, jaitan rapi lem pinggiran tidak keliatan ,biasanya sepatu murah lemnya bleber kemana2 ...","['puas', 'banget', 'dgn', 'harga', 'segitu', 'jaitan', 'rapi', 'lem', 'pinggir', 'liat', 'biasa', 'sepatu', 'murah', 'lem', 'bleber', 'kemana2', '']",puas banget dgn harga segitu jaitan rapi lem pinggir liat biasa sepatu murah lem bleber kemana2 
bagus sesuai dng harga nya,"['bagus', 'sesuai', 'dng', 'harga']",bagus sesuai dng harga
sepatunya keren & bagus banget. semoga awet dan nyaman di pakai nya👍👍,"['sepatu', 'keren', '', 'bagus', 'banget', 'moga', 'awet', 'nyaman', 'pakai', 'nya']",sepatu keren  bagus banget moga awet nyaman pakai nya
bentuk dan ukuran: bagus ukuran 43 pass warna: grey yellow aroma: aroma lem pekat daya tahan pakai: semoga awet alhamdulillah free kaos kaki dan tas 🥰🥰🥰,"['bentuk', 'ukur', 'bagus', 'ukur', '43', 'pass', 'warna', 'grey', 'yellow', 'aroma', 'aroma', 'lem', 'pekat', 'daya', 'tahan', 'pakai', 'moga', 'awet', 'alhamdulillah', 'free', 'kaos', 'kaki', 'tas', '']",bentuk ukur bagus ukur 43 pass warna grey yellow aroma aroma lem pekat daya tahan pakai moga awet alhamdulillah free kaos kaki tas 
"daya lantang mantap, meski tdk seperti yang aslinya.. sesuailah dgn harganya, kurangnya lemnnya kurang rapih aja.. semoga lebarnya bisa ditambahin dikit lah.. biar tambah perfect aroma: lem warna: mantap, kirain pilih grey yellow 😌 daya tahan pakai: semoga tahan","['daya', 'lantang', 'mantap', 'tdk', 'asli', 'sesuai', 'dgn', 'harga', 'kurang', 'lemnnya', 'rapih', 'aja', 'moga', 'lebar', 'ditambahin', 'dikit', 'lah', 'biar', 'perfect', 'aroma', 'lem', 'warna', 'mantap', 'kirain', 'pilih', 'grey', 'yellow', '', 'daya', 'tahan', 'pakai', 'moga', 'tahan']",daya lantang mantap tdk asli sesuai dgn harga kurang lemnnya rapih aja moga lebar ditambahin dikit lah biar perfect aroma lem warna mantap kirain pilih grey yellow  daya tahan pakai moga tahan
"sepatunya bagus bangat, sangat memuaskan 👍🏻","['sepatu', 'bagus', 'bangat', 'muas', '']",sepatu bagus bangat muas 
barang sesuai dgn pesanan packingan oke bentuk dan ukuran: 40 pas dan cocok warna: black tosca,"['barang', 'sesuai', 'dgn', 'pesan', 'packingan', 'oke', 'bentuk', 'ukur', '40', 'pas', 'cocok', 'warna', 'black', 'tosca']",barang sesuai dgn pesan packingan oke bentuk ukur 40 pas cocok warna black tosca
"bagus ,ternyata size 42 gede banget tapi gapapa..keren sukses selalu","['bagus', 'nyata', 'size', '42', 'gede', 'banget', 'gapapa keren', 'sukses']",bagus nyata size 42 gede banget gapapa keren sukses
"bagus, tunggu cek kekuatan kalo buat naik gunung kuat ngak ,😁","['bagus', 'tunggu', 'cek', 'kuat', 'kalo', 'gunung', 'kuat', 'ngak', '']",bagus tunggu cek kuat kalo gunung kuat ngak 
"bagus,langsung dipake tempur👍🤙🤙","['bagus langsung', 'dipake', 'tempur']",bagus langsung dipake tempur
barang bagus sesuai pesanan penjual cepat dalam menanggapi pesanan top pokoknya,"['barang', 'bagus', 'sesuai', 'pesan', 'jual', 'cepat', 'tanggap', 'pesan', 'top', 'pokok']",barang bagus sesuai pesan jual cepat tanggap pesan top pokok
"semoga awet yaa 🤗 review sepatu ada diakun tiktokku yaaa,, di gabut.euy bentuk dan ukuran: passss warna: grey yellow","['moga', 'awet', 'yaa', '', 'review', 'sepatu', 'akun', 'tiktokku', 'yaaa', 'gabut euy', 'bentuk', 'ukur', 'passss', 'warna', 'grey', 'yellow']",moga awet yaa  review sepatu akun tiktokku yaaa gabut euy bentuk ukur passss warna grey yellow
mantap kaka barang sangat sesuai dan bagus pengiriman cepat,"['mantap', 'kaka', 'barang', 'sesuai', 'bagus', 'kirim', 'cepat']",mantap kaka barang sesuai bagus kirim cepat
bagus enak di pakai bisa kali di tambah tu bonus nya,"['bagus', 'pakai', 'tu', 'bonus']",bagus pakai tu bonus
wanggiii pas sama kaki gw ringan empuk,"['wanggiii', 'pas', 'kaki', 'gw', 'ringan', 'empuk']",wanggiii pas kaki gw ringan empuk
"bagus.. untuk harga segitu keren.. empuk juga dalamnya, enak dipakai joging","['bagus', 'harga', 'segitu', 'keren', 'empuk', 'dalam', 'pakai', 'joging']",bagus harga segitu keren empuk dalam pakai joging
