komentar,tokens,cleaned
barang bagus sesuae yang sayang pesan walau pun agak terlbat sampaixa,"['barang', 'bagus', 'sesuae', 'sayang', 'pesan', 'terlbat', 'sampaixa']",barang bagus sesuae sayang pesan terlbat sampaixa
"ma,af baru di ambil paket nya.paket nya sudah smpai","['ma af', 'ambil', 'paket', 'nya paket', 'smpai']",ma af ambil paket nya paket smpai
"bagus, sesuai pesanan.harga juga murah.moga awet & tahan","['bagus', 'sesuai', 'pesan harga', 'murah moga', 'awet', '', 'tahan']",bagus sesuai pesan harga murah moga awet  tahan
yaa lumayan lah bagus sama di gambar ya namanya jg harga murah,"['yaa', 'lumayan', 'bagus', 'gambar', 'nama', 'jg', 'harga', 'murah']",yaa lumayan bagus gambar nama jg harga murah
alhamdllah.paket.datang nya cepat.dan sesuai pesanan.barang nya bagus.maksh untuk semua nya sukses sellu.buat kutur dan seler nya.🤲🤲🤲,"['alhamdllah paket datang', 'cepat dan', 'sesuai', 'pesan barang', 'bagus maksh', 'sukses', 'sellu buat', 'tur', 'seler', 'nya']",alhamdllah paket datang cepat dan sesuai pesan barang bagus maksh sukses sellu buat tur seler nya
"bagus,kualitas sesuai hargalah..terima kasih","['bagus kualitas', 'sesuai', 'harga terima', 'kasih']",bagus kualitas sesuai harga terima kasih
paket tepat waktu barang lumayan bagus,"['paket', 'waktu', 'barang', 'lumayan', 'bagus']",paket waktu barang lumayan bagus
"paket sudah sampai, bahan sesuai sama yang di foto terimakasih kak.","['paket', 'sampai', 'bahan', 'sesuai', 'foto', 'terimakasih', 'kak']",paket sampai bahan sesuai foto terimakasih kak
sepatu ya sangat bagus sya suka sesuai sma pesanan nya poko ya mantul,"['sepatu', 'bagus', 'sya', 'suka', 'sesuai', 'sma', 'pesan', 'poko', 'mantul']",sepatu bagus sya suka sesuai sma pesan poko mantul
"sepatunya bagus,dapat harga segitu termasuk murah.","['sepatu', 'bagus dapat', 'harga', 'segitu', 'murah']",sepatu bagus dapat harga segitu murah
daya tahan pakai: kuat anti selip bentuk dan ukuran: bagus/ pass banget,"['daya', 'tahan', 'pakai', 'kuat', 'anti', 'selip', 'bentuk', 'ukur', 'bagus', 'pass', 'banget']",daya tahan pakai kuat anti selip bentuk ukur bagus pass banget
"saya kecewa tidak sesuai yang di gambar,harusnya ada pemberitahuan klo barang tidak ada sebelum dikirim padahal saya co 2 no 42 sama no 39 yang no 42 nya sama kaya di gambar klo yang 39 beda","['kecewa', 'sesuai', 'gambar harus', 'pemberitahuan', 'klo', 'barang', 'kirim', 'co', '2', 'no', '42', 'no', '39', 'no', '42', 'kaya', 'gambar', 'klo', '39', 'beda']",kecewa sesuai gambar harus pemberitahuan klo barang kirim co 2 no 42 no 39 no 42 kaya gambar klo 39 beda
bentuk dan ukuran: sepatu sport ukuran pas 39 aroma: biasa daya tahan pakai: lumayan buat joging dan mejeng pas buat anak muda dan tua laki cewek cocok tidak mengecewakan dgn harga ekonomis kren,"['bentuk', 'ukur', 'sepatu', 'sport', 'ukur', 'pas', '39', 'aroma', 'daya', 'tahan', 'pakai', 'lumayan', 'joging', 'mejeng', 'pas', 'anak', 'muda', 'tua', 'laki', 'cewek', 'cocok', 'kecewa', 'dgn', 'harga', 'ekonomis', 'kren']",bentuk ukur sepatu sport ukur pas 39 aroma daya tahan pakai lumayan joging mejeng pas anak muda tua laki cewek cocok kecewa dgn harga ekonomis kren
bentuk dan ukuran: pas nyaman dipakai. daya tahan pakai: semoga awet.,"['bentuk', 'ukur', 'pas', 'nyaman', 'pakai', 'daya', 'tahan', 'pakai', 'moga', 'awet']",bentuk ukur pas nyaman pakai daya tahan pakai moga awet
wajar sih untuk harga segitu emang tidak berharap banyak. barang lecet dan sol tidak rata. cet nya manual bukan warna asli sol jadi belepotan kemana2 dan warna nya tidak rata.,"['wajar', 'sih', 'harga', 'segitu', 'emang', 'harap', 'banyak', 'barang', 'lecet', 'sol', 'rata', 'cet', 'manual', 'warna', 'asli', 'sol', 'belepotan', 'kemana2', 'warna', 'rata']",wajar sih harga segitu emang harap banyak barang lecet sol rata cet manual warna asli sol belepotan kemana2 warna rata
