K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
3,1,30,32,0.3,0.8783968687057495,0.8599656224250793,0.8426323533058167,0.2859871983528137,0.357534795999527,0.8824633956291283,0.8599656357388317,0.8926454445664105,0.7986825854261013,0.8456640149962559,"[[2033, 401], [88, 970]]"
3,2,30,32,0.3,0.8409817218780518,0.8404468894004822,0.8497853875160217,0.3766676485538482,0.3576565980911255,0.8512436166351145,0.8404468633629333,0.8812113457027084,0.7570867858700393,0.8191490657863738,"[[2066, 367], [190, 868]]"
3,3,30,32,0.3,0.8472602963447571,0.851045548915863,0.8669527769088745,0.3573844134807586,0.34221351146698,0.8622045195489105,0.8510455456889143,0.8888888888888888,0.7741094700260643,0.8314991794574766,"[[2080, 353], [167, 891]]"
3,1,30,32,0.5,0.8817081451416016,0.8722795248031616,0.8612303137779236,0.277822345495224,0.2872312068939209,0.8863364047635381,0.8722794959908362,0.903837861147046,0.8098891730605285,0.8568635171037873,"[[2096, 338], [108, 950]]"
3,2,30,32,0.5,0.8795661926269531,0.8519048690795898,0.8812589645385742,0.2891209721565246,0.3262747526168823,0.8682463555795498,0.8519048983099399,0.8880710110413509,0.7812103258569615,0.8346406684491562,"[[2051, 382], [135, 923]]"
3,3,30,32,0.5,0.8768264651298523,0.862790048122406,0.8655221462249756,0.287849485874176,0.3123706877231598,0.8742691134729902,0.8627900315095961,0.8974523656604582,0.7927304197317179,0.845091392696088,"[[2096, 337], [142, 916]]"
3,1,30,64,0.2,0.8471112251281738,0.8648338913917542,0.8583691120147705,0.3509751558303833,0.3140010237693786,0.8688158022149223,0.8648339060710195,0.9012965286491008,0.7856494096276113,0.843472969138356,"[[2155, 279], [193, 865]]"
3,2,30,64,0.2,0.8728310465812683,0.8484674692153931,0.8569384813308716,0.3018427789211273,0.3437813222408294,0.861428382613857,0.8484674878258379,0.8864563210989482,0.7722772277227723,0.8293667744108603,"[[2065, 368], [161, 897]]"
3,3,30,64,0.2,0.8675799369812012,0.8441707491874695,0.8483548164367676,0.3097462356090545,0.3678905963897705,0.8669943801940277,0.8441707247207104,0.8805970149253731,0.7757625721352019,0.8281797935302875,"[[2006, 427], [117, 941]]"
3,1,30,64,0.3,0.8532770276069641,0.8407789468765259,0.832617998123169,0.332849770784378,0.3422761261463165,0.8669587154384275,0.8407789232531501,0.877208480565371,0.7736156351791531,0.8254120578722621,"[[1986, 448], [108, 950]]"
3,2,30,64,0.3,0.8730593323707581,0.8524777889251709,0.8726752400398254,0.3027964830398559,0.3363050520420074,0.8633522797157773,0.8524778000572901,0.8900277599829169,0.7759895606785558,0.8330086603307364,"[[2084, 349], [166, 892]]"
3,3,30,64,0.3,0.8745433688163757,0.8599255084991455,0.8683834075927734,0.2990623712539673,0.328679084777832,0.872982425297505,0.8599255227728445,0.8949065119277885,0.7900386431945041,0.8424725775611464,"[[2082, 351], [138, 920]]"
3,1,30,64,0.5,0.8458552360534668,0.8502290844917297,0.8311874270439148,0.3554517328739166,0.3509808182716369,0.8677477311306904,0.8502290950744559,0.8865263614666956,0.7797894736842105,0.8331579175754531,"[[2043, 391], [132, 926]]"
