K,Fold,Epoch,Batch,Dropout,Confusion_Flat
10,1,30,16,0.2,"[[636, 94], [40, 278]]"
10,2,30,16,0.2,"[[643, 87], [160, 158]]"
10,3,30,16,0.2,"[[634, 96], [33, 285]]"
10,4,30,16,0.2,"[[595, 135], [134, 184]]"
10,5,30,16,0.2,"[[622, 108], [36, 281]]"
10,6,30,16,0.2,"[[651, 79], [53, 264]]"
10,7,30,16,0.2,"[[593, 137], [29, 288]]"
10,8,30,16,0.2,"[[629, 101], [29, 288]]"
10,9,30,16,0.2,"[[606, 124], [24, 293]]"
10,10,30,16,0.2,"[[596, 134], [34, 283]]"
10,1,30,16,0.3,"[[612, 118], [23, 295]]"
10,2,30,16,0.3,"[[661, 69], [42, 276]]"
10,3,30,16,0.3,"[[630, 100], [38, 280]]"
10,4,30,16,0.3,"[[630, 100], [39, 279]]"
10,5,30,16,0.3,"[[545, 185], [50, 267]]"
10,6,30,16,0.3,"[[599, 131], [30, 287]]"
10,7,30,16,0.3,"[[660, 70], [55, 262]]"
10,8,30,16,0.3,"[[621, 109], [29, 288]]"
10,9,30,16,0.3,"[[653, 77], [52, 265]]"
10,10,30,16,0.3,"[[639, 91], [49, 268]]"
10,1,30,16,0.5,"[[620, 110], [35, 283]]"
10,2,30,16,0.5,"[[616, 114], [37, 281]]"
10,3,30,16,0.5,"[[621, 109], [28, 290]]"
10,4,30,16,0.5,"[[612, 118], [35, 283]]"
10,5,30,16,0.5,"[[602, 128], [47, 270]]"
10,6,30,16,0.5,"[[625, 105], [46, 271]]"
10,7,30,16,0.5,"[[644, 86], [44, 273]]"
10,8,30,16,0.5,"[[625, 105], [32, 285]]"
10,9,30,16,0.5,"[[644, 86], [44, 273]]"
10,10,30,16,0.5,"[[631, 99], [47, 270]]"
10,1,30,32,0.2,"[[609, 121], [30, 288]]"
10,2,30,32,0.2,"[[645, 85], [39, 279]]"
10,3,30,32,0.2,"[[614, 116], [27, 291]]"
10,4,30,32,0.2,"[[627, 103], [37, 281]]"
10,5,30,32,0.2,"[[601, 129], [36, 281]]"
10,6,30,32,0.2,"[[607, 123], [45, 272]]"
10,7,30,32,0.2,"[[639, 91], [41, 276]]"
10,8,30,32,0.2,"[[647, 83], [34, 283]]"
10,9,30,32,0.2,"[[625, 105], [21, 296]]"
10,10,30,32,0.2,"[[617, 113], [29, 288]]"
10,1,30,32,0.3,"[[630, 100], [31, 287]]"
10,2,30,32,0.3,"[[632, 98], [37, 281]]"
10,3,30,32,0.3,"[[612, 118], [27, 291]]"
10,4,30,32,0.3,"[[581, 149], [28, 290]]"
10,5,30,32,0.3,"[[602, 128], [32, 285]]"
10,6,30,32,0.3,"[[619, 111], [38, 279]]"
10,7,30,32,0.3,"[[619, 111], [39, 278]]"
10,8,30,32,0.3,"[[641, 89], [32, 285]]"
10,9,30,32,0.3,"[[629, 101], [38, 279]]"
10,10,30,32,0.3,"[[632, 98], [59, 258]]"
10,1,30,32,0.5,"[[607, 123], [22, 296]]"
10,2,30,32,0.5,"[[637, 93], [39, 279]]"
10,3,30,32,0.5,"[[596, 134], [21, 297]]"
10,4,30,32,0.5,"[[595, 135], [32, 286]]"
10,5,30,32,0.5,"[[590, 140], [45, 272]]"
10,6,30,32,0.5,"[[631, 99], [47, 270]]"
10,7,30,32,0.5,"[[625, 105], [32, 285]]"
10,8,30,32,0.5,"[[631, 99], [32, 285]]"
