komentar,cleaned,tokens,normalized,stemmed,cleaned_final
"barang sudah sampai, kwalitas sesuai harga pengiriman cepat",barang sudah sampai kwalitas sesuai harga pengiriman cepat,"['barang', 'sudah', 'sampai', 'kwalitas', 'sesuai', 'harga', 'pengiriman', 'cepat']","['barang', 'sudah', 'sampai', 'kualitas', 'sesuai', 'harga', 'pengiriman', 'cepat']","['barang', 'sudah', 'sampai', 'kualitas', 'sesuai', 'harga', 'kirim', 'cepat']",barang sudah sampai kualitas sesuai harga kirim cepat
sangatt baikk tapi sayang warna kuning nya di cet,sangatt baikk tapi sayang warna kuning nya di cet,"['sangatt', 'baikk', 'tapi', 'sayang', 'warna', 'kuning', 'nya', 'di', 'cet']","['sangatt', 'baikk', 'tapi', 'sayang', 'warna', 'kuning', 'nya', 'di', 'cet']","['sangatt', 'baikk', 'tapi', 'sayang', 'warna', 'kuning', 'nya', 'di', 'cet']",sangatt baikk tapi sayang warna kuning nya di cet
Pengiriman cepat. Semoga awet 👍🏼,pengiriman cepat semoga awet,"['pengiriman', 'cepat', 'semoga', 'awet']","['pengiriman', 'cepat', 'semoga', 'awet']","['kirim', 'cepat', 'moga', 'awet']",kirim cepat moga awet
"Nyaman, belum dicuba….",nyaman belum dicuba,"['nyaman', 'belum', 'dicuba']","['nyaman', 'belum', 'dicuba']","['nyaman', 'belum', 'dicuba']",nyaman belum dicuba
lumayan dr pada lu mayun 😁,lumayan dr pada lu mayun,"['lumayan', 'dr', 'pada', 'lu', 'mayun']","['lumayan', 'dr', 'pada', 'lu', 'mayun']","['lumayan', 'dr', 'pada', 'lu', 'mayun']",lumayan dr pada lu mayun
terimakasih banyak barang sampai dengan selamat semoga awet terimakasih seller,terimakasih banyak barang sampai dengan selamat semoga awet terimakasih seller,"['terimakasih', 'banyak', 'barang', 'sampai', 'dengan', 'selamat', 'semoga', 'awet', 'terimakasih', 'seller']","['terimakasih', 'banyak', 'barang', 'sampai', 'dengan', 'selamat', 'semoga', 'awet', 'terimakasih', 'seller']","['terimakasih', 'banyak', 'barang', 'sampai', 'dengan', 'selamat', 'moga', 'awet', 'terimakasih', 'seller']",terimakasih banyak barang sampai dengan selamat moga awet terimakasih seller
Alhamdulillah.. Keren banget. Ga nyesel belanja sepatu ini. semoga awet.,alhamdulillah keren banget ga nyesel belanja sepatu ini semoga awet,"['alhamdulillah', 'keren', 'banget', 'ga', 'nyesel', 'belanja', 'sepatu', 'ini', 'semoga', 'awet']","['alhamdulillah', 'keren', 'banget', 'tidak', 'nyesel', 'belanja', 'sepatu', 'ini', 'semoga', 'awet']","['alhamdulillah', 'keren', 'banget', 'tidak', 'nyesel', 'belanja', 'sepatu', 'ini', 'moga', 'awet']",alhamdulillah keren banget tidak nyesel belanja sepatu ini moga awet
Cakep 👍,cakep,['cakep'],['cakep'],['cakep'],cakep
barang sip. ada harga ada kualitas,barang sip ada harga ada kualitas,"['barang', 'sip', 'ada', 'harga', 'ada', 'kualitas']","['barang', 'sip', 'ada', 'harga', 'ada', 'kualitas']","['barang', 'sip', 'ada', 'harga', 'ada', 'kualitas']",barang sip ada harga ada kualitas
asik bangett fehh,asik bangett fehh,"['asik', 'bangett', 'fehh']","['asik', 'bangett', 'fehh']","['asik', 'bangett', 'fehh']",asik bangett fehh
Murah meriah bermerk..keaslian ceck dulu ya,murah meriah bermerk keaslian ceck dulu ya,"['murah', 'meriah', 'bermerk', 'keaslian', 'ceck', 'dulu', 'ya']","['murah', 'meriah', 'bermerk', 'keaslian', 'ceck', 'dulu', 'ya']","['murah', 'riah', 'bermerk', 'asli', 'ceck', 'dulu', 'ya']",murah riah bermerk asli ceck dulu ya
kerennnn.... terimakasih seller,kerennnn terimakasih seller,"['kerennnn', 'terimakasih', 'seller']","['kerennnn', 'terimakasih', 'seller']","['kerennnn', 'terimakasih', 'seller']",kerennnn terimakasih seller
sepatu berfungsi dengan baik,sepatu berfungsi dengan baik,"['sepatu', 'berfungsi', 'dengan', 'baik']","['sepatu', 'berfungsi', 'dengan', 'baik']","['sepatu', 'fungsi', 'dengan', 'baik']",sepatu fungsi dengan baik
Berfungsi dengan baik,berfungsi dengan baik,"['berfungsi', 'dengan', 'baik']","['berfungsi', 'dengan', 'baik']","['fungsi', 'dengan', 'baik']",fungsi dengan baik
